Instancia;N_Itens;Algoritmo;Parametros;Melhor_Lucro;Otimo_Conhecido;Gap(%);Tempo_Medio(s);Iteracoes/Geracoes
P08;24;Busca Tabu;tabu_size=10, max_iterations=100;13415886;13549094;0.98;0.008;100
P08;24;Busca Tabu;tabu_size=10, max_iterations=500;13415886;13549094;0.98;0.0407;500
P08;24;Busca Tabu;tabu_size=10, max_iterations=1000;13415886;13549094;0.98;0.0801;1000
P08;24;Busca Tabu;tabu_size=20, max_iterations=100;13449995;13549094;0.73;0.0071;100
P08;24;Busca Tabu;tabu_size=20, max_iterations=500;13449995;13549094;0.73;0.0348;500
P08;24;Busca Tabu;tabu_size=20, max_iterations=1000;13449995;13549094;0.73;0.0685;1000
P08;24;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;13501943;13549094;0.35;0.0297;100
P08;24;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;13549094;13549094;0.0;0.0324;100
P08;24;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;13549094;13549094;0.0;0.1488;500
P08;24;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;13549094;13549094;0.0;0.1599;500
P08;24;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;13505878;13549094;0.32;0.2963;1000
P08;24;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;13549094;13549094;0.0;0.3143;1000
P08;24;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;13549094;13549094;0.0;0.0582;100
P08;24;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;13549094;13549094;0.0;0.0642;100
P08;24;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;13505878;13549094;0.32;0.2885;500
P08;24;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;13549094;13549094;0.0;0.3185;500
P08;24;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;13505878;13549094;0.32;0.5765;1000
P08;24;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;13549094;13549094;0.0;0.6354;1000
knapPI_1_100;100;Busca Tabu;tabu_size=5, max_iterations=100;8817;9147;3.61;0.1039;100
knapPI_1_100;100;Busca Tabu;tabu_size=5, max_iterations=500;8817;9147;3.61;0.5303;500
knapPI_1_100;100;Busca Tabu;tabu_size=5, max_iterations=1000;8817;9147;3.61;10.506;1000
knapPI_1_100;100;Busca Tabu;tabu_size=10, max_iterations=100;8817;9147;3.61;0.1053;100
knapPI_1_100;100;Busca Tabu;tabu_size=10, max_iterations=500;8817;9147;3.61;0.5249;500
knapPI_1_100;100;Busca Tabu;tabu_size=10, max_iterations=1000;8817;9147;3.61;10.582;1000
knapPI_1_100;100;Busca Tabu;tabu_size=20, max_iterations=100;8817;9147;3.61;0.1052;100
knapPI_1_100;100;Busca Tabu;tabu_size=20, max_iterations=500;8817;9147;3.61;0.5278;500
knapPI_1_100;100;Busca Tabu;tabu_size=20, max_iterations=1000;8817;9147;3.61;10.644;1000
knapPI_1_100;100;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;9147;9147;0.0;0.0838;100
knapPI_1_100;100;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;9147;9147;0.0;0.0893;100
knapPI_1_100;100;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;9147;9147;0.0;0.3895;500
knapPI_1_100;100;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;9147;9147;0.0;0.4379;500
knapPI_1_100;100;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;9147;9147;0.0;0.7764;1000
knapPI_1_100;100;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;9147;9147;0.0;0.879;1000
knapPI_1_100;100;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;9147;9147;0.0;0.1598;100
knapPI_1_100;100;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;9147;9147;0.0;0.1801;100
knapPI_1_100;100;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;9147;9147;0.0;0.7802;500
knapPI_1_100;100;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;9147;9147;0.0;0.8857;500
knapPI_1_100;100;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;9147;9147;0.0;15.571;1000
knapPI_1_100;100;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;9147;9147;0.0;17.618;1000
